last_name, first_name,year,xba,exit_velocity_avg,z_swing_miss_percent,oz_swing_miss_percent,fastball_avg_break,breaking_avg_break,offspeed_avg_break
Cessa, Luis,2019,0.229,88.3,17.9,47.9,19,2.4,15
Miley, Wade,2019,0.247,87,15.2,38.5,11.9,13.8,18.5
Greinke, Zack,2019,0.242,86.8,15.9,37,16.9,12.3,13.2
Sparkman, Glenn,2019,0.293,90.6,11.5,32.5,17.5,10.9,17.8
Pagan, Emilio,2019,0.174,89.3,28.8,49.7,14,14.6,16
Osuna, Roberto,2019,0.209,86,27.2,49.1,18.3,8.2,18.6
Musgrove, Joe,2019,0.251,88.4,15.6,45.6,12.8,12.1,9.2
Erlin, Robbie,2019,0.285,87.4,15.7,41.8,18.9,15.5,13.5
Perez, Martin,2019,0.248,85.4,14.4,34.5,14.3,8.5,18
Archer, Chris,2019,0.265,88,20.2,46.9,19.4,6.3,14.8
Marquez, German,2019,0.268,90.2,15.6,53,15.6,4.8,17.5
Suarez, Jose,2019,0.274,87.8,16.9,46.4,17.7,12.6,12.1
Fried, Max,2019,0.254,88.3,16.4,46.1,12.9,18,13.4
Albers, Matt,2019,0.237,86.3,12.3,42.6,18.5,6.3,15.3
Garcia, Luis,2019,0.269,87.8,15.3,51.7,16.6,7.4,8
Hader, Josh,2019,0.155,90.4,37.9,51.3,19.6,8.9,16.3
Familia, Jeurys,2019,0.247,86.7,16,52.3,18.3,5.1,15.3
Buttrey, Ty,2019,0.249,90,17.2,51.2,19.4,4.3,18.1
Hernandez, Elieser,2019,0.209,85.9,20.2,36.8,19.2,16.8,17.7
Sale, Chris,2019,0.217,88.1,24.9,45.2,19.5,14.9,19.2
Givens, Mychal,2019,0.22,88.6,29.5,46.4,16.1,7.2,13.7
Hudson, Daniel,2019,0.227,88.8,16.7,39.6,17.9,4.3,21.5
Armstrong, Shawn,2019,0.259,87.6,22.9,40.8,15.7,13.6,16
McFarland, T.J.,2019,0.313,87.3,12.7,35.4,17.6,6.5,16.8
Liriano, Francisco,2019,0.23,84.6,21.8,47.5,17.4,7.4,16
Sabathia, CC,2019,0.242,86.4,16.7,41.9,12,11.4,12
Keller, Brad,2019,0.263,88.9,11.2,38.8,14.5,8.9,10.3
Greene, Shane,2019,0.239,89,19.7,41.9,15.3,17.3,16.8
Treinen, Blake,2019,0.252,87.1,16.3,42.7,17.4,4.9,16
Stephenson, Robert,2019,0.194,86.7,22.4,65.6,19.3,5.9,15
Green, Chad,2019,0.24,91.5,25.3,41.9,19,5.3,13.3
Jimenez, Joe,2019,0.215,88.1,26.3,43.9,21,7.2,18.3
DeSclafani, Anthony,2019,0.238,88.3,14,43.6,18.8,8.1,15.2
Godley, Zack,2019,0.278,89,13.5,45.1,12.9,7.6,12
Freeland, Kyle,2019,0.291,88.9,13.5,35.2,14.7,5.7,12.5
Brooks, Aaron,2019,0.27,89.1,12.8,34.4,19.7,3.9,14.8
Montgomery, Mike,2019,0.316,89.7,10.6,40,13.5,11,16.5
Beede, Tyler,2019,0.266,90.8,14,52.2,17.7,10.6,15
Ynoa, Gabriel,2019,0.286,89.9,12.9,37.5,18.5,4.1,19.4
Cashner, Andrew,2019,0.268,89.3,16.8,35.2,19,10.1,15.9
Lopez, Pablo,2019,0.26,87.3,16.7,39.2,16.3,11.5,17.6
Young, Alex,2019,0.251,87,16,46.4,15.1,4.8,15.3
Yarbrough, Ryan,2019,0.258,84.1,17.4,32.5,12.7,15.1,18.7
Canning, Griffin,2019,0.221,87,19.8,54.5,20.2,8.8,18
Gray, Jon,2019,0.269,88.9,15.7,52.3,16,7.6,13.4
Bettis, Chad,2019,0.271,89.6,12.9,42.3,11.5,15.1,9.9
Leake, Mike,2019,0.299,90.4,11.7,33.5,9.9,11.9,12.9
Workman, Brandon,2019,0.173,87.5,18.6,58,13.3,17.6,16
Bumgarner, Madison,2019,0.255,89.4,17.9,39.4,13.9,12.8,15.9
Gant, John,2019,0.233,87,20.5,46,18.4,18,14.2
Leclerc, Jose,2019,0.175,85.7,25.2,48.2,18,11.5,17.8
Scherzer, Max,2019,0.206,87.4,26,50.5,17.4,6.8,16.1
Gsellman, Robert,2019,0.239,85.3,16.9,46.6,20.4,9.4,18.9
Arrieta, Jake,2019,0.266,88.7,12.4,29.6,19,13.8,17.3
Fiers, Mike,2019,0.266,87.3,14.6,28.1,20.8,16,18
Morton, Charlie,2019,0.22,86.7,19.2,52.2,16.7,20.9,20.4
Chatwood, Tyler,2019,0.263,87.3,16.3,44,16.8,16.8,15.2
Plesac, Zach,2019,0.279,89.1,16.3,38.2,19.1,7.2,14.9
Paxton, James,2019,0.228,88.6,22.4,49,15.9,8.1,14.3
Ray, Robbie,2019,0.231,86.9,23.3,49.3,19.7,5,16
Anderson, Nick,2019,0.197,89.6,29.8,57.5,20.8,3.4,16
Hendriks, Liam,2019,0.185,88.9,25.7,60.6,19.6,7.1,16
Weaver, Luke,2019,0.253,89.3,19.8,40.4,16.5,8.7,13.5
Cortes Jr., Nestor,2019,0.279,87.6,21.3,34.5,19.3,7.2,15.4
Jurado, Ariel,2019,0.298,89.1,13.4,29.8,17.9,4.9,18.5
Guerra, Javy,2019,0.255,88.7,13.4,34.2,19.2,7.5,15.8
Bieber, Shane,2019,0.246,90.4,16.9,55.1,19.7,7.2,17.5
Bundy, Dylan,2019,0.241,87.7,17.3,47.7,19.8,9.2,15.1
Peralta, Freddy,2019,0.232,88.7,24.8,41.3,17.6,13.3,16.2
Lopez, Jorge,2019,0.272,90.3,13.3,38.3,17.8,12.3,15.8
Milone, Tommy,2019,0.25,86.7,13.9,35,20.5,6,17.7
Clarke, Taylor,2019,0.264,88.9,15.3,40.3,18.4,7.6,16.7
Trivino, Lou,2019,0.23,85.5,19,45.9,14,15,17.3
Lester, Jon,2019,0.282,87.8,15.1,32.9,14,12.6,15.3
Jackson, Luke,2019,0.209,87.9,22.7,57.7,18.6,9,18.9
Guerra, Junior,2019,0.222,85.6,19.9,41.1,19.7,11.1,14.4
Maeda, Kenta,2019,0.216,85.4,22.6,49.3,17.1,10.2,13.5
Lamet, Dinelson,2019,0.217,86.9,19,58.8,17.6,9.3,18.7
Newcomb, Sean,2019,0.237,86.9,18.2,34.2,17.8,18.9,15
Peters, Dillon,2019,0.285,89,15.5,32.4,17.8,14.3,16.2
Valdez, Framber,2019,0.253,89.5,16.5,51.4,13.6,20.2,13.1
